cause,location,sex,age,year,point_estimate,lower,upper
Cardiovascular diseases,Global,Male,30 to 34,2029,6581.013042208956,6579.481215281059,6582.073307206878
Cardiovascular diseases,Global,Male,35 to 39,2029,7493.4056679224495,7491.7813366901555,7495.131838850665
Cardiovascular diseases,Global,Male,40 to 44,2029,8538.510427171757,8537.674382053063,8539.82022387991
Cardiovascular diseases,Global,Male,45 to 49,2029,9596.564012101802,9595.422258822693,9598.380183479037
Cardiovascular diseases,Global,Male,50 to 54,2029,10635.317677529736,10633.886381302516,10637.113926146407
Cardiovascular diseases,Global,Male,55 to 59,2029,11677.94375702685,11675.894064355296,11679.591291024271
Cardiovascular diseases,Global,Male,60 to 64,2029,12743.916254281794,12742.046339311644,12746.244511624674
Cardiovascular diseases,Global,Male,65 to 69,2029,13771.92438732491,13768.666517257989,13774.272589008742
Cardiovascular diseases,Global,Male,70 to 74,2029,14815.733465192825,14812.291643056182,14818.353397484298
Cardiovascular diseases,Global,Male,75 to 79,2029,15861.038138005011,15858.715799880716,15863.13796650515
Cardiovascular diseases,Global,Male,80 to 84,2029,16891.26337364745,16888.09871735569,16894.54402476633
Cardiovascular diseases,Global,Male,85 to 89,2029,17935.961697102528,17931.249509051922,17940.51254745466
Cardiovascular diseases,Global,Male,90 to 94,2029,18940.656138466584,18930.175389327906,18951.765558964325
Cardiovascular diseases,Global,Male,25 to 29,2030,5665.166727211035,5663.990719798016,5666.7586691462675
Cardiovascular diseases,Global,Male,30 to 34,2030,6581.013042208956,6579.481215281059,6582.073307206878
Cardiovascular diseases,Global,Male,35 to 39,2030,7493.4056679224495,7491.7813366901555,7495.131838850665
Cardiovascular diseases,Global,Male,40 to 44,2030,8538.510427171757,8537.674382053063,8539.82022387991
Cardiovascular diseases,Global,Male,45 to 49,2030,9596.564012101802,9595.422258822693,9598.380183479037
Cardiovascular diseases,Global,Male,50 to 54,2030,10635.317677529736,10633.886381302516,10637.113926146407
Cardiovascular diseases,Global,Male,55 to 59,2030,11677.94375702685,11675.894064355296,11679.591291024271
Cardiovascular diseases,Global,Male,60 to 64,2030,12743.916254281794,12742.046339311644,12746.244511624674
Cardiovascular diseases,Global,Male,65 to 69,2030,13771.92438732491,13768.666517257989,13774.272589008742
Cardiovascular diseases,Global,Male,70 to 74,2030,14815.733465192825,14812.291643056182,14818.353397484298
Cardiovascular diseases,Global,Male,75 to 79,2030,15861.038138005011,15858.715799880716,15863.13796650515
Cardiovascular diseases,Global,Male,80 to 84,2030,16891.26337364745,16888.09871735569,16894.54402476633
Cardiovascular diseases,Global,Male,85 to 89,2030,17935.961697102528,17931.249509051922,17940.51254745466
Cardiovascular diseases,Global,Male,90 to 94,2030,18940.656138466584,18930.175389327906,18951.765558964325
Cardiovascular diseases,Global,Male,25 to 29,2031,5665.166727211035,5663.990719798016,5666.7586691462675
Cardiovascular diseases,Global,Male,30 to 34,2031,6581.013042208956,6579.481215281059,6582.073307206878
Cardiovascular diseases,Global,Male,35 to 39,2031,7493.4056679224495,7491.7813366901555,7495.131838850665
Cardiovascular diseases,Global,Male,40 to 44,2031,8538.510427171757,8537.674382053063,8539.82022387991
Cardiovascular diseases,Global,Male,45 to 49,2031,9596.564012101802,9595.422258822693,9598.380183479037
Cardiovascular diseases,Global,Male,50 to 54,2031,10635.317677529736,10633.886381302516,10637.113926146407
Cardiovascular diseases,Global,Male,55 to 59,2031,11677.94375702685,11675.894064355296,11679.591291024271
Cardiovascular diseases,Global,Male,60 to 64,2031,12743.916254281794,12742.046339311644,12746.244511624674
Cardiovascular diseases,Global,Male,65 to 69,2031,13771.92438732491,13768.666517257989,13774.272589008742
Cardiovascular diseases,Global,Male,70 to 74,2031,14815.733465192825,14812.291643056182,14818.353397484298
Cardiovascular diseases,Global,Male,75 to 79,2031,15861.038138005011,15858.715799880716,15863.13796650515
Cardiovascular diseases,Global,Male,80 to 84,2031,16891.26337364745,16888.09871735569,16894.54402476633
Cardiovascular diseases,Global,Male,85 to 89,2031,17935.961697102528,17931.249509051922,17940.51254745466
Cardiovascular diseases,Global,Male,90 to 94,2031,18940.656138466584,18930.175389327906,18951.765558964325
Cardiovascular diseases,Global,Male,25 to 29,2032,5633.405051820113,5632.0697792217115,5635.255010324941
Cardiovascular diseases,Global,Male,30 to 34,2032,6545.203698142604,6543.4901330243265,6546.558296082792
Cardiovascular diseases,Global,Male,35 to 39,2032,7453.674637268849,7451.871790662065,7455.725209529914
Cardiovascular diseases,Global,Male,40 to 44,2032,8360.395558443215,8358.809908436944,8362.08006601352
Cardiovascular diseases,Global,Male,45 to 49,2032,9436.359081780029,9435.36815000686,9437.721081222204
Cardiovascular diseases,Global,Male,50 to 54,2032,10501.473385549385,10500.064479879891,10503.847014920571
Cardiovascular diseases,Global,Male,55 to 59,2032,11555.971875740961,11553.549075604384,11557.833800837354
Cardiovascular diseases,Global,Male,60 to 64,2032,12614.051994423711,12611.147244815962,12616.169322490143
Cardiovascular diseases,Global,Male,65 to 69,2032,13672.742974820923,13670.442387273317,13674.525916776305
Cardiovascular diseases,Global,Male,70 to 74,2032,14729.926771440721,14725.25991625785,14732.5905266279
Cardiovascular diseases,Global,Male,75 to 79,2032,15780.032273067656,15776.752118240758,15782.923073950193
Cardiovascular diseases,Global,Male,80 to 84,2032,16816.976266464328,16814.01596298985,16820.95474803748
Cardiovascular diseases,Global,Male,85 to 89,2032,17859.983899943974,17855.250069522663,17864.199736541417
Cardiovascular diseases,Global,Male,90 to 94,2032,18904.93390104824,18893.735074096774,18913.69512844941
Cardiovascular diseases,Global,Male,25 to 29,2033,5633.405051820113,5632.0697792217115,5635.255010324941
Cardiovascular diseases,Global,Male,30 to 34,2033,6545.203698142604,6543.4901330243265,6546.558296082792
Cardiovascular diseases,Global,Male,35 to 39,2033,7453.674637268849,7451.871790662065,7455.725209529914
Cardiovascular diseases,Global,Male,40 to 44,2033,8360.395558443215,8358.809908436944,8362.08006601352
Cardiovascular diseases,Global,Male,45 to 49,2033,9436.359081780029,9435.36815000686,9437.721081222204
Cardiovascular diseases,Global,Male,50 to 54,2033,10501.473385549385,10500.064479879891,10503.847014920571
Cardiovascular diseases,Global,Male,55 to 59,2033,11555.971875740961,11553.549075604384,11557.833800837354
Cardiovascular diseases,Global,Male,60 to 64,2033,12614.051994423711,12611.147244815962,12616.169322490143
Cardiovascular diseases,Global,Male,65 to 69,2033,13672.742974820923,13670.442387273317,13674.525916776305
Cardiovascular diseases,Global,Male,70 to 74,2033,14729.926771440721,14725.25991625785,14732.5905266279
Cardiovascular diseases,Global,Male,75 to 79,2033,15780.032273067656,15776.752118240758,15782.923073950193
Cardiovascular diseases,Global,Male,80 to 84,2033,16816.976266464328,16814.01596298985,16820.95474803748
Cardiovascular diseases,Global,Male,85 to 89,2033,17859.983899943974,17855.250069522663,17864.199736541417
Cardiovascular diseases,Global,Male,90 to 94,2033,18904.93390104824,18893.735074096774,18913.69512844941
Cardiovascular diseases,Global,Male,25 to 29,2034,5633.405051820113,5632.0697792217115,5635.255010324941
Cardiovascular diseases,Global,Male,30 to 34,2034,6545.203698142604,6543.4901330243265,6546.558296082792
Cardiovascular diseases,Global,Male,35 to 39,2034,7453.674637268849,7451.871790662065,7455.725209529914
Cardiovascular diseases,Global,Male,40 to 44,2034,8360.395558443215,8358.809908436944,8362.08006601352
Cardiovascular diseases,Global,Male,45 to 49,2034,9436.359081780029,9435.36815000686,9437.721081222204
Cardiovascular diseases,Global,Male,50 to 54,2034,10501.473385549385,10500.064479879891,10503.847014920571
Cardiovascular diseases,Global,Male,55 to 59,2034,11555.971875740961,11553.549075604384,11557.833800837354
Cardiovascular diseases,Global,Male,60 to 64,2034,12614.051994423711,12611.147244815962,12616.169322490143
Cardiovascular diseases,Global,Male,65 to 69,2034,13672.742974820923,13670.442387273317,13674.525916776305
Cardiovascular diseases,Global,Male,70 to 74,2034,14729.926771440721,14725.25991625785,14732.5905266279
Cardiovascular diseases,Global,Male,75 to 79,2034,15780.032273067656,15776.752118240758,15782.923073950193
Cardiovascular diseases,Global,Male,80 to 84,2034,16816.976266464328,16814.01596298985,16820.95474803748
Cardiovascular diseases,Global,Male,85 to 89,2034,17859.983899943974,17855.250069522663,17864.199736541417
Cardiovascular diseases,Global,Male,90 to 94,2034,18904.93390104824,18893.735074096774,18913.69512844941
Cardiovascular diseases,Global,Male,25 to 29,2035,5633.405051820113,5632.0697792217115,5635.255010324941
Cardiovascular diseases,Global,Male,30 to 34,2035,6545.203698142604,6543.4901330243265,6546.558296082792
Cardiovascular diseases,Global,Male,35 to 39,2035,7453.674637268849,7451.871790662065,7455.725209529914
Cardiovascular diseases,Global,Male,40 to 44,2035,8360.395558443215,8358.809908436944,8362.08006601352
Cardiovascular diseases,Global,Male,45 to 49,2035,9436.359081780029,9435.36815000686,9437.721081222204
Cardiovascular diseases,Global,Male,50 to 54,2035,10501.473385549385,10500.064479879891,10503.847014920571
Cardiovascular diseases,Global,Male,55 to 59,2035,11555.971875740961,11553.549075604384,11557.833800837354
Cardiovascular diseases,Global,Male,60 to 64,2035,12614.051994423711,12611.147244815962,12616.169322490143
Cardiovascular diseases,Global,Male,65 to 69,2035,13672.742974820923,13670.442387273317,13674.525916776305
Cardiovascular diseases,Global,Male,70 to 74,2035,14729.926771440721,14725.25991625785,14732.5905266279
Cardiovascular diseases,Global,Male,75 to 79,2035,15780.032273067656,15776.752118240758,15782.923073950193
Cardiovascular diseases,Global,Male,80 to 84,2035,16816.976266464328,16814.01596298985,16820.95474803748
Cardiovascular diseases,Global,Male,85 to 89,2035,17859.983899943974,17855.250069522663,17864.199736541417
Cardiovascular diseases,Global,Male,90 to 94,2035,18904.93390104824,18893.735074096774,18913.69512844941
Cardiovascular diseases,Global,Male,25 to 29,2036,5633.405051820113,5632.0697792217115,5635.255010324941
Cardiovascular diseases,Global,Male,30 to 34,2036,6545.203698142604,6543.4901330243265,6546.558296082792
Cardiovascular diseases,Global,Male,35 to 39,2036,7453.674637268849,7451.871790662065,7455.725209529914
Cardiovascular diseases,Global,Male,40 to 44,2036,8360.395558443215,8358.809908436944,8362.08006601352
Cardiovascular diseases,Global,Male,45 to 49,2036,9436.359081780029,9435.36815000686,9437.721081222204
Cardiovascular diseases,Global,Male,50 to 54,2036,10501.473385549385,10500.064479879891,10503.847014920571
Cardiovascular diseases,Global,Male,55 to 59,2036,11555.971875740961,11553.549075604384,11557.833800837354
Cardiovascular diseases,Global,Male,60 to 64,2036,12614.051994423711,12611.147244815962,12616.169322490143
Cardiovascular diseases,Global,Male,65 to 69,2036,13672.742974820923,13670.442387273317,13674.525916776305
Cardiovascular diseases,Global,Male,70 to 74,2036,14729.926771440721,14725.25991625785,14732.5905266279
Cardiovascular diseases,Global,Male,75 to 79,2036,15780.032273067656,15776.752118240758,15782.923073950193
Cardiovascular diseases,Global,Male,80 to 84,2036,16816.976266464328,16814.01596298985,16820.95474803748
Cardiovascular diseases,Global,Male,85 to 89,2036,17859.983899943974,17855.250069522663,17864.199736541417
Cardiovascular diseases,Global,Male,90 to 94,2036,18904.93390104824,18893.735074096774,18913.69512844941
Cardiovascular diseases,Global,Male,25 to 29,2037,5617.577727225403,5616.16337016237,5619.5558110045
Cardiovascular diseases,Global,Male,30 to 34,2037,6527.357578461703,6525.553752651354,6528.858372506808
Cardiovascular diseases,Global,Male,35 to 39,2037,7433.872422363122,7431.96910097147,7436.084148789094
Cardiovascular diseases,Global,Male,40 to 44,2037,8338.688075710947,8336.991373949812,8340.509329818447
Cardiovascular diseases,Global,Male,45 to 49,2037,9266.951406258086,9265.054259415967,9268.58362817147
Cardiovascular diseases,Global,Male,50 to 54,2037,10355.03375428196,10353.553828770937,10357.099766172118
Cardiovascular diseases,Global,Male,55 to 59,2037,11440.825296932313,11438.581092274811,11443.194300960127
Cardiovascular diseases,Global,Male,60 to 64,2037,12514.287694313574,12511.167486601991,12517.370624608935
Cardiovascular diseases,Global,Male,65 to 69,2037,13567.331531107835,13564.135317796117,13569.358768538483
Cardiovascular diseases,Global,Male,70 to 74,2037,14659.281767301805,14655.663153339206,14661.263791928612
Cardiovascular diseases,Global,Male,75 to 79,2037,15725.772566608412,15721.63355787579,15729.192717278334
Cardiovascular diseases,Global,Male,80 to 84,2037,16769.974544849538,16766.34883724955,16773.896524092987
Cardiovascular diseases,Global,Male,85 to 89,2037,17822.08549134482,17817.5342016743,17827.035379507503
Cardiovascular diseases,Global,Male,90 to 94,2037,18867.32392630256,18855.50631874382,18876.16506190332
Cardiovascular diseases,Global,Male,25 to 29,2038,5617.577727225403,5616.16337016237,5619.5558110045
Cardiovascular diseases,Global,Male,30 to 34,2038,6527.357578461703,6525.553752651354,6528.858372506808
Cardiovascular diseases,Global,Male,35 to 39,2038,7433.872422363122,7431.96910097147,7436.084148789094
Cardiovascular diseases,Global,Male,40 to 44,2038,8338.688075710947,8336.991373949812,8340.509329818447
Cardiovascular diseases,Global,Male,45 to 49,2038,9266.951406258086,9265.054259415967,9268.58362817147
Cardiovascular diseases,Global,Male,50 to 54,2038,10355.03375428196,10353.553828770937,10357.099766172118
Cardiovascular diseases,Global,Male,55 to 59,2038,11440.825296932313,11438.581092274811,11443.194300960127
Cardiovascular diseases,Global,Male,60 to 64,2038,12514.287694313574,12511.167486601991,12517.370624608935
Cardiovascular diseases,Global,Male,65 to 69,2038,13567.331531107835,13564.135317796117,13569.358768538483
Cardiovascular diseases,Global,Male,70 to 74,2038,14659.281767301805,14655.663153339206,14661.263791928612
Cardiovascular diseases,Global,Male,75 to 79,2038,15725.772566608412,15721.63355787579,15729.192717278334
Cardiovascular diseases,Global,Male,80 to 84,2038,16769.974544849538,16766.34883724955,16773.896524092987
Cardiovascular diseases,Global,Male,85 to 89,2038,17822.08549134482,17817.5342016743,17827.035379507503
Cardiovascular diseases,Global,Male,90 to 94,2038,18867.32392630256,18855.50631874382,18876.16506190332
Cardiovascular diseases,Global,Male,25 to 29,2039,5617.577727225403,5616.16337016237,5619.5558110045
Cardiovascular diseases,Global,Male,30 to 34,2039,6527.357578461703,6525.553752651354,6528.858372506808
Cardiovascular diseases,Global,Male,35 to 39,2039,7433.872422363122,7431.96910097147,7436.084148789094
Cardiovascular diseases,Global,Male,40 to 44,2039,8338.688075710947,8336.991373949812,8340.509329818447
Cardiovascular diseases,Global,Male,45 to 49,2039,9266.951406258086,9265.054259415967,9268.58362817147
Cardiovascular diseases,Global,Male,50 to 54,2039,10355.03375428196,10353.553828770937,10357.099766172118
Cardiovascular diseases,Global,Male,55 to 59,2039,11440.825296932313,11438.581092274811,11443.194300960127
Cardiovascular diseases,Global,Male,60 to 64,2039,12514.287694313574,12511.167486601991,12517.370624608935
Cardiovascular diseases,Global,Male,65 to 69,2039,13567.331531107835,13564.135317796117,13569.358768538483
Cardiovascular diseases,Global,Male,70 to 74,2039,14659.281767301805,14655.663153339206,14661.263791928612
Cardiovascular diseases,Global,Male,75 to 79,2039,15725.772566608412,15721.63355787579,15729.192717278334
Cardiovascular diseases,Global,Male,80 to 84,2039,16769.974544849538,16766.34883724955,16773.896524092987
Cardiovascular diseases,Global,Male,85 to 89,2039,17822.08549134482,17817.5342016743,17827.035379507503
Cardiovascular diseases,Global,Male,90 to 94,2039,18867.32392630256,18855.50631874382,18876.16506190332
Cardiovascular diseases,Global,Male,25 to 29,2040,5617.577727225403,5616.16337016237,5619.5558110045
Cardiovascular diseases,Global,Male,30 to 34,2040,6527.357578461703,6525.553752651354,6528.858372506808
Cardiovascular diseases,Global,Male,35 to 39,2040,7433.872422363122,7431.96910097147,7436.084148789094
Cardiovascular diseases,Global,Male,40 to 44,2040,8338.688075710947,8336.991373949812,8340.509329818447
Cardiovascular diseases,Global,Male,45 to 49,2040,9266.951406258086,9265.054259415967,9268.58362817147
Cardiovascular diseases,Global,Male,50 to 54,2040,10355.03375428196,10353.553828770937,10357.099766172118
Cardiovascular diseases,Global,Male,55 to 59,2040,11440.825296932313,11438.581092274811,11443.194300960127
Cardiovascular diseases,Global,Male,60 to 64,2040,12514.287694313574,12511.167486601991,12517.370624608935
Cardiovascular diseases,Global,Male,65 to 69,2040,13567.331531107835,13564.135317796117,13569.358768538483
Cardiovascular diseases,Global,Male,70 to 74,2040,14659.281767301805,14655.663153339206,14661.263791928612
Cardiovascular diseases,Global,Male,75 to 79,2040,15725.772566608412,15721.63355787579,15729.192717278334
Cardiovascular diseases,Global,Male,80 to 84,2040,16769.974544849538,16766.34883724955,16773.896524092987
Cardiovascular diseases,Global,Male,85 to 89,2040,17822.08549134482,17817.5342016743,17827.035379507503
Cardiovascular diseases,Global,Male,90 to 94,2040,18867.32392630256,18855.50631874382,18876.16506190332
Cardiovascular diseases,Japan,Both,25 to 29,2022,3995.5920845083383,3991.343753003579,4000.0505350874105
Cardiovascular diseases,Japan,Both,30 to 34,2022,4889.302788033699,4882.522791657833,4893.909845867292
Cardiovascular diseases,Japan,Both,35 to 39,2022,5911.817674353366,5904.483557914347,5917.3443014920595
Cardiovascular diseases,Japan,Both,40 to 44,2022,6942.598015096191,6934.630210949714,6950.454772859484
Cardiovascular diseases,Japan,Both,45 to 49,2022,7976.222119654979,7972.3291129038225,7979.783777565837
Cardiovascular diseases,Japan,Both,50 to 54,2022,9041.00960675526,9038.042022677646,9044.337046852479
Cardiovascular diseases,Japan,Both,55 to 59,2022,10090.347131804037,10082.821689531247,10095.256193542016
Cardiovascular diseases,Japan,Both,60 to 64,2022,11117.249075855036,11110.130446838297,11121.03814274735
Cardiovascular diseases,Japan,Both,65 to 69,2022,12156.17339809642,12149.625169281659,12162.22213262491
Cardiovascular diseases,Japan,Both,70 to 74,2022,13198.527057535077,13195.835740719942,13203.395515664432
Cardiovascular diseases,Japan,Both,75 to 79,2022,14239.692853145398,14233.055397717086,14245.991435805508
Cardiovascular diseases,Japan,Both,80 to 84,2022,15275.575281094907,15269.557606846494,15281.361309284594
Cardiovascular diseases,Japan,Both,85 to 89,2022,16313.086416226965,16301.16170567496,16323.633984953794
Cardiovascular diseases,Japan,Both,90 to 94,2022,17334.58851062928,17327.82919343319,17347.962989136584
Cardiovascular diseases,Japan,Both,25 to 29,2023,3995.5920845083383,3991.343753003579,4000.0505350874105
Cardiovascular diseases,Japan,Both,30 to 34,2023,4889.302788033699,4882.522791657833,4893.909845867292
Cardiovascular diseases,Japan,Both,35 to 39,2023,5911.817674353366,5904.483557914347,5917.3443014920595
Cardiovascular diseases,Japan,Both,40 to 44,2023,6942.598015096191,6934.630210949714,6950.454772859484
Cardiovascular diseases,Japan,Both,45 to 49,2023,7976.222119654979,7972.3291129038225,7979.783777565837
Cardiovascular diseases,Japan,Both,50 to 54,2023,9041.00960675526,9038.042022677646,9044.337046852479
Cardiovascular diseases,Japan,Both,55 to 59,2023,10090.347131804037,10082.821689531247,10095.256193542016
Cardiovascular diseases,Japan,Both,60 to 64,2023,11117.249075855036,11110.130446838297,11121.03814274735
Cardiovascular diseases,Japan,Both,65 to 69,2023,12156.17339809642,12149.625169281659,12162.22213262491
Cardiovascular diseases,Japan,Both,70 to 74,2023,13198.527057535077,13195.835740719942,13203.395515664432
Cardiovascular diseases,Japan,Both,75 to 79,2023,14239.692853145398,14233.055397717086,14245.991435805508
Cardiovascular diseases,Japan,Both,80 to 84,2023,15275.575281094907,15269.557606846494,15281.361309284594
Cardiovascular diseases,Japan,Both,85 to 89,2023,16313.086416226965,16301.16170567496,16323.633984953794
Cardiovascular diseases,Japan,Both,90 to 94,2023,17334.58851062928,17327.82919343319,17347.962989136584
Cardiovascular diseases,Japan,Both,25 to 29,2024,3995.5920845083383,3991.343753003579,4000.0505350874105
Cardiovascular diseases,Japan,Both,30 to 34,2024,4889.302788033699,4882.522791657833,4893.909845867292
Cardiovascular diseases,Japan,Both,35 to 39,2024,5911.817674353366,5904.483557914347,5917.3443014920595
Cardiovascular diseases,Japan,Both,40 to 44,2024,6942.598015096191,6934.630210949714,6950.454772859484
Cardiovascular diseases,Japan,Both,45 to 49,2024,7976.222119654979,7972.3291129038225,7979.783777565837
Cardiovascular diseases,Japan,Both,50 to 54,2024,9041.00960675526,9038.042022677646,9044.337046852479
Cardiovascular diseases,Japan,Both,55 to 59,2024,10090.347131804037,10082.821689531247,10095.256193542016
Cardiovascular diseases,Japan,Both,60 to 64,2024,11117.249075855036,11110.130446838297,11121.03814274735
Cardiovascular diseases,Japan,Both,65 to 69,2024,12156.17339809642,12149.625169281659,12162.22213262491
Cardiovascular diseases,Japan,Both,70 to 74,2024,13198.527057535077,13195.835740719942,13203.395515664432
Cardiovascular diseases,Japan,Both,75 to 79,2024,14239.692853145398,14233.055397717086,14245.991435805508
Cardiovascular diseases,Japan,Both,80 to 84,2024,15275.575281094907,15269.557606846494,15281.361309284594
Cardiovascular diseases,Japan,Both,85 to 89,2024,16313.086416226965,16301.16170567496,16323.633984953794
Cardiovascular diseases,Japan,Both,90 to 94,2024,17334.58851062928,17327.82919343319,17347.962989136584
Cardiovascular diseases,Japan,Both,25 to 29,2025,3995.5920845083383,3991.343753003579,4000.0505350874105
Cardiovascular diseases,Japan,Both,30 to 34,2025,4889.302788033699,4882.522791657833,4893.909845867292
Cardiovascular diseases,Japan,Both,35 to 39,2025,5911.817674353366,5904.483557914347,5917.3443014920595
Cardiovascular diseases,Japan,Both,40 to 44,2025,6942.598015096191,6934.630210949714,6950.454772859484
Cardiovascular diseases,Japan,Both,45 to 49,2025,7976.222119654979,7972.3291129038225,7979.783777565837
Cardiovascular diseases,Japan,Both,50 to 54,2025,9041.00960675526,9038.042022677646,9044.337046852479
Cardiovascular diseases,Japan,Both,55 to 59,2025,10090.347131804037,10082.821689531247,10095.256193542016
Cardiovascular diseases,Japan,Both,60 to 64,2025,11117.249075855036,11110.130446838297,11121.03814274735
Cardiovascular diseases,Japan,Both,65 to 69,2025,12156.17339809642,12149.625169281659,12162.22213262491
Cardiovascular diseases,Japan,Both,70 to 74,2025,13198.527057535077,13195.835740719942,13203.395515664432
Cardiovascular diseases,Japan,Both,75 to 79,2025,14239.692853145398,14233.055397717086,14245.991435805508
Cardiovascular diseases,Japan,Both,80 to 84,2025,15275.575281094907,15269.557606846494,15281.361309284594
Cardiovascular diseases,Japan,Both,85 to 89,2025,16313.086416226965,16301.16170567496,16323.633984953794
Cardiovascular diseases,Japan,Both,90 to 94,2025,17334.58851062928,17327.82919343319,17347.962989136584
Cardiovascular diseases,Japan,Both,25 to 29,2026,3995.5920845083383,3991.343753003579,4000.0505350874105
Cardiovascular diseases,Japan,Both,30 to 34,2026,4889.302788033699,4882.522791657833,4893.909845867292
Cardiovascular diseases,Japan,Both,35 to 39,2026,5911.817674353366,5904.483557914347,5917.3443014920595
Cardiovascular diseases,Japan,Both,40 to 44,2026,6942.598015096191,6934.630210949714,6950.454772859484
Cardiovascular diseases,Japan,Both,45 to 49,2026,7976.222119654979,7972.3291129038225,7979.783777565837
Cardiovascular diseases,Japan,Both,50 to 54,2026,9041.00960675526,9038.042022677646,9044.337046852479
Cardiovascular diseases,Japan,Both,55 to 59,2026,10090.347131804037,10082.821689531247,10095.256193542016
Cardiovascular diseases,Japan,Both,60 to 64,2026,11117.249075855036,11110.130446838297,11121.03814274735
Cardiovascular diseases,Japan,Both,65 to 69,2026,12156.17339809642,12149.625169281659,12162.22213262491
Cardiovascular diseases,Japan,Both,70 to 74,2026,13198.527057535077,13195.835740719942,13203.395515664432
Cardiovascular diseases,Japan,Both,75 to 79,2026,14239.692853145398,14233.055397717086,14245.991435805508
Cardiovascular diseases,Japan,Both,80 to 84,2026,15275.575281094907,15269.557606846494,15281.361309284594
Cardiovascular diseases,Japan,Both,85 to 89,2026,16313.086416226965,16301.16170567496,16323.633984953794
Cardiovascular diseases,Japan,Both,90 to 94,2026,17334.58851062928,17327.82919343319,17347.962989136584
Cardiovascular diseases,Japan,Both,25 to 29,2027,3952.2972705531715,3948.009768783364,3957.56230594428
Cardiovascular diseases,Japan,Both,30 to 34,2027,4838.411421000254,4831.688420790489,4844.115833863293
Cardiovascular diseases,Japan,Both,35 to 39,2027,5723.551273752068,5717.87827923836,5729.287279805053
Cardiovascular diseases,Japan,Both,40 to 44,2027,6757.454329892959,6745.6940024860105,6761.894643894237
Cardiovascular diseases,Japan,Both,45 to 49,2027,7807.048038524373,7798.528009929209,7814.424342059943
Cardiovascular diseases,Japan,Both,50 to 54,2027,8869.518792561747,8865.337184588549,8875.742681475023
Cardiovascular diseases,Japan,Both,55 to 59,2027,9940.220237452291,9934.88685469971,9946.747106459263
Cardiovascular diseases,Japan,Both,60 to 64,2027,10987.562478135136,10978.386126333688,10994.17518210001
Cardiovascular diseases,Japan,Both,65 to 69,2027,12032.39075837615,12024.176460894372,12037.977465436557
Cardiovascular diseases,Japan,Both,70 to 74,2027,13069.871740331493,13063.646764559046,13076.359128970173
Cardiovascular diseases,Japan,Both,75 to 79,2027,14141.699488285083,14133.633568168145,14150.100713433128
Cardiovascular diseases,Japan,Both,80 to 84,2027,15173.412128812022,15162.61613241953,15181.967947511886
Cardiovascular diseases,Japan,Both,85 to 89,2027,16230.201574392042,16219.079103265947,16243.970898403151
Cardiovascular diseases,Japan,Both,90 to 94,2027,17240.748292405762,17232.12329363542,17252.913547813965
Cardiovascular diseases,Japan,Both,25 to 29,2028,3952.2972705531715,3948.009768783364,3957.56230594428
Cardiovascular diseases,Japan,Both,30 to 34,2028,4838.411421000254,4831.688420790489,4844.115833863293
Cardiovascular diseases,Japan,Both,35 to 39,2028,5723.551273752068,5717.87827923836,5729.287279805053
Cardiovascular diseases,Japan,Both,40 to 44,2028,6757.454329892959,6745.6940024860105,6761.894643894237
Cardiovascular diseases,Japan,Both,45 to 49,2028,7807.048038524373,7798.528009929209,7814.424342059943
Cardiovascular diseases,Japan,Both,50 to 54,2028,8869.518792561747,8865.337184588549,8875.742681475023
Cardiovascular diseases,Japan,Both,55 to 59,2028,9940.220237452291,9934.88685469971,9946.747106459263
Cardiovascular diseases,Japan,Both,60 to 64,2028,10987.562478135136,10978.386126333688,10994.17518210001
Cardiovascular diseases,Japan,Both,65 to 69,2028,12032.39075837615,12024.176460894372,12037.977465436557
Cardiovascular diseases,Japan,Both,70 to 74,2028,13069.871740331493,13063.646764559046,13076.359128970173
Cardiovascular diseases,Japan,Both,75 to 79,2028,14141.699488285083,14133.633568168145,14150.100713433128
Cardiovascular diseases,Japan,Both,80 to 84,2028,15173.412128812022,15162.61613241953,15181.967947511886
Cardiovascular diseases,Japan,Both,85 to 89,2028,16230.201574392042,16219.079103265947,16243.970898403151
Cardiovascular diseases,Japan,Both,90 to 94,2028,17240.748292405762,17232.12329363542,17252.913547813965
Cardiovascular diseases,Japan,Both,25 to 29,2029,3952.2972705531715,3948.009768783364,3957.56230594428
Cardiovascular diseases,Japan,Both,30 to 34,2029,4838.411421000254,4831.688420790489,4844.115833863293
Cardiovascular diseases,Japan,Both,35 to 39,2029,5723.551273752068,5717.87827923836,5729.287279805053
Cardiovascular diseases,Japan,Both,40 to 44,2029,6757.454329892959,6745.6940024860105,6761.894643894237
Cardiovascular diseases,Japan,Both,45 to 49,2029,7807.048038524373,7798.528009929209,7814.424342059943
Cardiovascular diseases,Japan,Both,50 to 54,2029,8869.518792561747,8865.337184588549,8875.742681475023
Cardiovascular diseases,Japan,Both,55 to 59,2029,9940.220237452291,9934.88685469971,9946.747106459263
Cardiovascular diseases,Japan,Both,60 to 64,2029,10987.562478135136,10978.386126333688,10994.17518210001
Cardiovascular diseases,Japan,Both,65 to 69,2029,12032.39075837615,12024.176460894372,12037.977465436557
Cardiovascular diseases,Japan,Both,70 to 74,2029,13069.871740331493,13063.646764559046,13076.359128970173
Cardiovascular diseases,Japan,Both,75 to 79,2029,14141.699488285083,14133.633568168145,14150.100713433128
